point_id,polygon_id,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+3,di_t+4,di_t+5,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-31,di_t-32,di_t-33,di_t-34,di_t-35,di_t-36,di_t-37,di_t-38,di_t-39,di_t-4,di_t-40,di_t-41,di_t-42,di_t-43,di_t-44,di_t-45,di_t-46,di_t-47,di_t-48,di_t-49,di_t-5,di_t-50,di_t-51,di_t-52,di_t-6,di_t-7,di_t-8,di_t-9,FCC_Date,Flight_Date
4101,9,1,13.0,,,11.0,,12.0,,10.0,,10.0,,11.0,10.0,,9.0,,6.0,,,,,11.0,,11.0,,11.0,,,2.0,,2.0,,3.0,,-2147483648.0,,3.0,10.0,,2.0,,2.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,3.0,,2.0,7.0,,2.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,3.0,,2019-05-15,2019-06-25
4102,9,1,12.0,,,11.0,,10.0,,9.0,,10.0,,11.0,10.0,,10.0,,8.0,,,,,11.0,,11.0,,11.0,,,0.0,,1.0,,1.0,,-2147483648.0,,1.0,10.0,,1.0,,1.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,1.0,7.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,2.0,,2019-05-15,2019-06-25
4103,9,1,11.0,,,10.0,,9.0,,8.0,,8.0,,10.0,8.0,,9.0,,8.0,,,,,11.0,,10.0,,10.0,,,0.0,,1.0,,2.0,,-2147483648.0,,1.0,9.0,,1.0,,1.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,1.0,6.0,,1.0,,0.0,,0.0,,1.0,,,,1.0,,0.0,3.0,,2.0,,2019-05-15,2019-06-25
4104,9,1,0.0,,,-1.0,,0.0,,-1.0,,-1.0,,0.0,-2.0,,-3.0,,-6.0,,,,,0.0,,-1.0,,-1.0,,,1.0,,1.0,,-1.0,,-2147483648.0,,-4.0,-1.0,,-4.0,,-6.0,,-2147483648.0,,-7.0,,,-8.0,,-6.0,,-5.0,,,-4.0,,-3.0,-1.0,,-3.0,,-2.0,,-1.0,,-1.0,,,,0.0,,-1.0,0.0,,0.0,,,2019-06-25
4105,9,1,3.0,,,5.0,,5.0,,3.0,,3.0,,4.0,2.0,,1.0,,-2.0,,,,,4.0,,4.0,,4.0,,,2.0,,2.0,,2.0,,-2147483648.0,,0.0,2.0,,-1.0,,-2.0,,-2147483648.0,,-3.0,,,-4.0,,-3.0,,-2.0,,,-1.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,1.0,,2019-07-01,2019-06-25
4106,9,1,5.0,,,6.0,,6.0,,4.0,,4.0,,5.0,3.0,,1.0,,-1.0,,,,,5.0,,6.0,,5.0,,,2.0,,2.0,,2.0,,-2147483648.0,,-1.0,4.0,,-1.0,,-3.0,,-2147483648.0,,-3.0,,,-4.0,,-3.0,,-2.0,,,-2.0,,0.0,2.0,,0.0,,0.0,,1.0,,0.0,,,,0.0,,0.0,1.0,,1.0,,2019-06-15,2019-06-25
4107,9,1,13.0,,,12.0,,12.0,,10.0,,11.0,,11.0,10.0,,9.0,,6.0,,,,,12.0,,12.0,,12.0,,,2.0,,2.0,,3.0,,-2147483648.0,,2.0,11.0,,2.0,,2.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,2.0,8.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,5.0,,4.0,,2019-05-01,2019-06-25
4108,9,1,13.0,,,11.0,,12.0,,10.0,,10.0,,11.0,10.0,,9.0,,6.0,,,,,11.0,,11.0,,11.0,,,2.0,,2.0,,4.0,,-2147483648.0,,3.0,10.0,,3.0,,3.0,,-2147483648.0,,3.0,,,2.0,,2.0,,3.0,,,3.0,,2.0,7.0,,2.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,3.0,,2019-05-15,2019-06-25
4109,9,1,12.0,,,12.0,,11.0,,9.0,,10.0,,11.0,11.0,,10.0,,9.0,,,,,12.0,,12.0,,12.0,,,0.0,,1.0,,2.0,,-2147483648.0,,1.0,10.0,,2.0,,2.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,1.0,7.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,2.0,,2019-05-15,2019-06-25
4110,9,1,12.0,,,11.0,,10.0,,8.0,,9.0,,11.0,9.0,,9.0,,8.0,,,,,11.0,,11.0,,11.0,,,0.0,,1.0,,2.0,,-2147483648.0,,1.0,10.0,,1.0,,2.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,1.0,7.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,2.0,,2019-05-15,2019-06-25
4111,9,1,0.0,,,0.0,,1.0,,0.0,,0.0,,1.0,-1.0,,-3.0,,-5.0,,,,,1.0,,0.0,,0.0,,,2.0,,1.0,,0.0,,-2147483648.0,,-3.0,0.0,,-3.0,,-5.0,,-2147483648.0,,-6.0,,,-7.0,,-6.0,,-5.0,,,-4.0,,-3.0,0.0,,-2.0,,-1.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,1.0,,,2019-06-25
4112,9,1,4.0,,,5.0,,5.0,,3.0,,3.0,,5.0,2.0,,1.0,,-2.0,,,,,5.0,,5.0,,5.0,,,3.0,,3.0,,2.0,,-2147483648.0,,0.0,3.0,,0.0,,-1.0,,-2147483648.0,,-2.0,,,-2.0,,-2.0,,-1.0,,,0.0,,1.0,3.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,3.0,,4.0,,2019-04-01,2019-06-25
4113,9,1,6.0,,,6.0,,6.0,,4.0,,4.0,,6.0,3.0,,1.0,,-2.0,,,,,6.0,,6.0,,6.0,,,3.0,,3.0,,2.0,,-2147483648.0,,0.0,5.0,,0.0,,-2.0,,-2147483648.0,,-2.0,,,-3.0,,-2.0,,-1.0,,,-1.0,,0.0,5.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,4.0,,4.0,,2019-05-01,2019-06-25
4114,9,1,10.0,,,10.0,,10.0,,9.0,,9.0,,10.0,8.0,,7.0,,4.0,,,,,10.0,,11.0,,10.0,,,2.0,,2.0,,2.0,,-2147483648.0,,2.0,9.0,,2.0,,2.0,,-2147483648.0,,2.0,,,1.0,,2.0,,2.0,,,2.0,,2.0,7.0,,1.0,,1.0,,1.0,,1.0,,,,2.0,,1.0,5.0,,4.0,,2019-05-01,2019-06-25
4115,9,1,10.0,,,10.0,,10.0,,9.0,,9.0,,10.0,8.0,,7.0,,4.0,,,,,10.0,,11.0,,10.0,,,2.0,,2.0,,3.0,,-2147483648.0,,2.0,9.0,,2.0,,2.0,,-2147483648.0,,2.0,,,2.0,,2.0,,2.0,,,2.0,,2.0,6.0,,2.0,,1.0,,2.0,,1.0,,,,1.0,,1.0,4.0,,3.0,,2019-05-01,2019-06-25
4116,9,1,10.0,,,9.0,,9.0,,7.0,,7.0,,10.0,7.0,,8.0,,7.0,,,,,10.0,,10.0,,10.0,,,0.0,,0.0,,1.0,,-2147483648.0,,1.0,8.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,6.0,,0.0,,0.0,,1.0,,1.0,,,,1.0,,1.0,3.0,,2.0,,2019-05-15,2019-06-25
4117,9,1,9.0,,,9.0,,8.0,,6.0,,6.0,,10.0,6.0,,7.0,,6.0,,,,,10.0,,10.0,,9.0,,,0.0,,1.0,,1.0,,-2147483648.0,,1.0,8.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,5.0,,0.0,,0.0,,1.0,,1.0,,,,1.0,,0.0,3.0,,2.0,,2019-05-15,2019-06-25
4118,9,1,0.0,,,0.0,,0.0,,-1.0,,-2.0,,1.0,-2.0,,-3.0,,-5.0,,,,,1.0,,1.0,,0.0,,,2.0,,2.0,,0.0,,-2147483648.0,,-3.0,-1.0,,-3.0,,-5.0,,-2147483648.0,,-6.0,,,-7.0,,-6.0,,-4.0,,,-4.0,,-2.0,-1.0,,-2.0,,-1.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,1.0,,,2019-06-25
4119,9,1,4.0,,,5.0,,5.0,,2.0,,2.0,,5.0,2.0,,0.0,,-2.0,,,,,5.0,,5.0,,5.0,,,3.0,,4.0,,3.0,,-2147483648.0,,1.0,2.0,,1.0,,0.0,,-2147483648.0,,-1.0,,,-2.0,,-1.0,,0.0,,,0.0,,1.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,1.0,,1.0,2.0,,3.0,,2019-07-01,2019-06-25
4120,9,1,4.0,,,5.0,,4.0,,2.0,,2.0,,5.0,1.0,,0.0,,-1.0,,,,,6.0,,5.0,,5.0,,,3.0,,3.0,,2.0,,-2147483648.0,,-1.0,2.0,,-1.0,,-2.0,,-2147483648.0,,-3.0,,,-3.0,,-2.0,,-1.0,,,0.0,,1.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,1.0,,1.0,2.0,,3.0,,2019-07-01,2019-06-25
4121,9,1,8.0,,,9.0,,9.0,,6.0,,7.0,,9.0,6.0,,6.0,,4.0,,,,,9.0,,10.0,,9.0,,,1.0,,2.0,,2.0,,-2147483648.0,,1.0,6.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,2.0,,,2.0,,2.0,5.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,3.0,,3.0,,2019-05-15,2019-06-25
4122,9,1,8.0,,,9.0,,8.0,,6.0,,6.0,,9.0,6.0,,6.0,,5.0,,,,,9.0,,9.0,,9.0,,,1.0,,2.0,,2.0,,-2147483648.0,,1.0,6.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,2.0,,,2.0,,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,3.0,,3.0,,2019-06-01,2019-06-25
4123,9,1,9.0,,,9.0,,8.0,,7.0,,7.0,,10.0,7.0,,8.0,,7.0,,,,,10.0,,9.0,,9.0,,,0.0,,1.0,,1.0,,-2147483648.0,,1.0,7.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,4.0,,0.0,,0.0,,0.0,,1.0,,,,1.0,,0.0,2.0,,2.0,,2019-06-01,2019-06-25
4124,9,1,9.0,,,8.0,,8.0,,6.0,,6.0,,9.0,6.0,,7.0,,6.0,,,,,9.0,,9.0,,9.0,,,1.0,,1.0,,2.0,,-2147483648.0,,1.0,6.0,,1.0,,1.0,,-2147483648.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,4.0,,0.0,,0.0,,1.0,,1.0,,,,1.0,,0.0,3.0,,2.0,,2019-06-01,2019-06-25
4125,9,1,0.0,,,0.0,,0.0,,-2.0,,-2.0,,0.0,-3.0,,-4.0,,-5.0,,,,,0.0,,0.0,,0.0,,,2.0,,2.0,,0.0,,-2147483648.0,,-2.0,-1.0,,-2.0,,-4.0,,-2147483648.0,,-4.0,,,-5.0,,-4.0,,-3.0,,,-3.0,,-2.0,-1.0,,-2.0,,-1.0,,-1.0,,-1.0,,,,0.0,,-1.0,0.0,,1.0,,,2019-06-25
4126,9,1,2.0,,,3.0,,2.0,,1.0,,1.0,,3.0,1.0,,0.0,,-2.0,,,,,3.0,,3.0,,3.0,,,2.0,,2.0,,2.0,,-2147483648.0,,0.0,1.0,,0.0,,0.0,,-2147483648.0,,-1.0,,,-1.0,,0.0,,0.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,0.0,,,,1.0,,0.0,1.0,,2.0,,2020-04-15,2019-06-25
4127,9,1,3.0,,,3.0,,2.0,,1.0,,1.0,,3.0,0.0,,0.0,,-2.0,,,,,4.0,,4.0,,3.0,,,2.0,,2.0,,1.0,,-2147483648.0,,0.0,2.0,,-1.0,,-1.0,,-2147483648.0,,-2.0,,,-2.0,,-1.0,,0.0,,,0.0,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,2.0,,2.0,,2020-04-15,2019-06-25
4128,9,1,0.0,,,0.0,,0.0,,-2.0,,-2.0,,0.0,-2.0,,-3.0,,-5.0,,,,,0.0,,0.0,,0.0,,,2.0,,2.0,,1.0,,-2147483648.0,,-1.0,-1.0,,-2.0,,-3.0,,-2147483648.0,,-4.0,,,-5.0,,-4.0,,-3.0,,,-3.0,,-2.0,0.0,,-2.0,,-1.0,,-1.0,,-1.0,,,,-1.0,,-2.0,1.0,,1.0,,,2019-06-25
4129,9,1,3.0,,,2.0,,2.0,,0.0,,0.0,,3.0,0.0,,-1.0,,-1.0,,,,,3.0,,4.0,,3.0,,,0.0,,-1.0,,-1.0,,-2147483648.0,,-1.0,3.0,,-1.0,,-1.0,,-2147483648.0,,-1.0,,,-1.0,,-1.0,,-1.0,,,0.0,,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,1.0,,1.0,2.0,,1.0,,2020-05-15,2019-06-25
4130,9,1,0.0,,,0.0,,0.0,,-1.0,,-1.0,,0.0,-1.0,,-1.0,,-1.0,,,,,1.0,,1.0,,0.0,,,-1.0,,-1.0,,-1.0,,-2147483648.0,,-1.0,0.0,,-1.0,,-1.0,,-2147483648.0,,-1.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,-1.0,0.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,-1.0,,-1.0,0.0,,0.0,,,2019-06-25
4131,1,1,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,0.0,,,0.0,,0.0,,1.0,,1.0,,1.0,1.0,,1.0,,-2147483648.0,,1.0,,0.0,,,,0.0,,0.0,,0.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,2022-05-15,2022-07-18
4132,1,1,,,0.0,,1.0,,1.0,,1.0,,1.0,3.0,,1.0,,2.0,,2.0,,,3.0,,1.0,,1.0,,3.0,2.0,,2.0,,3.0,,2.0,,1.0,,,0.0,,0.0,,0.0,,1.0,,1.0,3.0,,1.0,,-2147483648.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,,,2.0,3.0,,2.0,,,2.0,,,2022-06-01,2022-07-18
4133,1,1,,,3.0,,2.0,,1.0,,1.0,,1.0,3.0,,1.0,,2.0,,2.0,,,3.0,,3.0,,3.0,,4.0,4.0,,4.0,,3.0,,3.0,,3.0,,,3.0,,2.0,,2.0,,2.0,,2.0,4.0,,2.0,,-2147483648.0,,2.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,,,2.0,4.0,,2.0,,,4.0,,,2022-06-01,2022-07-18
4134,1,1,,,3.0,,3.0,,3.0,,3.0,,3.0,6.0,,3.0,,2.0,,2.0,,,5.0,,4.0,,3.0,,6.0,4.0,,5.0,,5.0,,5.0,,3.0,,,3.0,,2.0,,2.0,,2.0,,2.0,5.0,,2.0,,-2147483648.0,,2.0,,2.0,,,,2.0,,3.0,,3.0,,3.0,,,4.0,5.0,,4.0,,,4.0,,,2023-04-15,2022-07-18
4135,1,1,,,3.0,,3.0,,3.0,,3.0,,3.0,6.0,,2.0,,2.0,,2.0,,,5.0,,3.0,,3.0,,6.0,4.0,,5.0,,5.0,,5.0,,3.0,,,2.0,,2.0,,2.0,,2.0,,2.0,6.0,,2.0,,-2147483648.0,,2.0,,2.0,,,,2.0,,3.0,,3.0,,3.0,,,4.0,5.0,,4.0,,,4.0,,,2023-04-01,2022-07-18
4136,1,1,,,5.0,,5.0,,4.0,,4.0,,4.0,7.0,,3.0,,3.0,,3.0,,,6.0,,5.0,,4.0,,6.0,6.0,,7.0,,7.0,,7.0,,7.0,,,7.0,,5.0,,5.0,,4.0,,4.0,6.0,,3.0,,-2147483648.0,,3.0,,3.0,,,,3.0,,4.0,,5.0,,6.0,,,7.0,6.0,,7.0,,,6.0,,,2023-04-01,2022-07-18
4137,1,1,,,5.0,,5.0,,4.0,,4.0,,4.0,7.0,,3.0,,3.0,,3.0,,,6.0,,4.0,,4.0,,6.0,6.0,,6.0,,7.0,,7.0,,7.0,,,7.0,,5.0,,5.0,,4.0,,4.0,6.0,,3.0,,-2147483648.0,,3.0,,3.0,,,,3.0,,4.0,,5.0,,5.0,,,6.0,5.0,,7.0,,,5.0,,,2023-04-01,2022-07-18
4138,1,1,,,5.0,,5.0,,5.0,,4.0,,4.0,6.0,,3.0,,3.0,,3.0,,,6.0,,5.0,,5.0,,6.0,6.0,,6.0,,7.0,,7.0,,7.0,,,7.0,,6.0,,5.0,,5.0,,4.0,6.0,,4.0,,-2147483648.0,,4.0,,4.0,,,,5.0,,6.0,,7.0,,7.0,,,7.0,5.0,,7.0,,,5.0,,,2023-04-15,2022-07-18
