point_id,polygon_id,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+3,di_t+4,di_t+5,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-4,di_t-5,di_t-6,di_t-7,di_t-8,di_t-9
61,4,2,,3.0,4.0,,4.0,3.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,3.0,,,4.0,,4.0,,2.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,2.0,,2.0,2.0,,,2.0,,1.0,,
62,4,2,,2.0,3.0,,3.0,3.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,3.0,,,4.0,,4.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,
63,4,2,,1.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,1.0,,0.0,0.0,,0.0,1.0,,,1.0,,1.0,,
64,4,2,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,0.0,,0.0,,1.0,,2.0,,,2.0,,2.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,2.0,,,2.0,,1.0,,
65,4,2,,2.0,1.0,,1.0,1.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,1.0,,1.0,,2.0,2.0,,2.0,,2.0,,1.0,,1.0,,,1.0,,,2.0,,2.0,1.0,,1.0,2.0,,,2.0,,2.0,,
66,4,2,,2.0,3.0,,2.0,2.0,,2.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,,,3.0,,3.0,,3.0,2.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,
67,4,2,,3.0,3.0,,3.0,3.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,3.0,,,3.0,,3.0,,3.0,2.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,3.0,,,2.0,,2.0,,
68,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,3.0,,,2.0,,3.0,,3.0,,3.0,,,3.0,,3.0,,3.0,2.0,,2.0,,2.0,,2.0,,1.0,,,1.0,,,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,
69,4,2,,3.0,3.0,,3.0,3.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,3.0,,,3.0,,3.0,,3.0,2.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,
70,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,3.0,,,3.0,,4.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,,0.0,,,1.0,,1.0,1.0,,2.0,2.0,,,2.0,,1.0,,
