point_id,polygon_id,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+3,di_t+4,di_t+5,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-4,di_t-5,di_t-6,di_t-7,di_t-8,di_t-9
20,2,1,,4.0,4.0,,4.0,4.0,,4.0,,,4.0,,,3.0,,3.0,,3.0,,4.0,,,5.0,,4.0,,4.0,2.0,,0.0,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,,0.0,1.0,,2.0,5.0,,,5.0,,5.0,,
21,3,2,,4.0,4.0,,3.0,3.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,6.0,,,6.0,,6.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,-1.0,,,-1.0,,0.0,2.0,,3.0,2.0,,,1.0,,1.0,,
22,3,2,,4.0,4.0,,3.0,3.0,,2.0,,,2.0,,,1.0,,2.0,,3.0,,6.0,,,6.0,,6.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,-1.0,,,-1.0,,0.0,2.0,,3.0,2.0,,,1.0,,1.0,,
23,3,2,,5.0,5.0,,4.0,3.0,,3.0,,,3.0,,,2.0,,3.0,,4.0,,6.0,,,7.0,,6.0,,3.0,1.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,0.0,2.0,,3.0,3.0,,,2.0,,1.0,,
24,3,2,,5.0,6.0,,6.0,6.0,,6.0,,,6.0,,,6.0,,6.0,,6.0,,6.0,,,6.0,,6.0,,3.0,1.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,1.0,2.0,,3.0,3.0,,,2.0,,1.0,,
25,3,2,,4.0,6.0,,5.0,5.0,,4.0,,,4.0,,,3.0,,4.0,,5.0,,5.0,,,7.0,,7.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,1.0,2.0,,3.0,2.0,,,1.0,,1.0,,
26,3,2,,4.0,4.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,3.0,,6.0,,,6.0,,6.0,,2.0,2.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,0.0,2.0,,3.0,2.0,,,2.0,,2.0,,
27,3,2,,5.0,5.0,,4.0,3.0,,3.0,,,2.0,,,2.0,,3.0,,4.0,,6.0,,,7.0,,6.0,,3.0,2.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,2.0,3.0,,,3.0,,2.0,,
28,3,2,,5.0,5.0,,4.0,3.0,,3.0,,,2.0,,,2.0,,3.0,,4.0,,6.0,,,6.0,,6.0,,3.0,2.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,0.0,2.0,,3.0,3.0,,,3.0,,2.0,,
29,4,2,,4.0,4.0,,4.0,4.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,5.0,,,5.0,,5.0,,3.0,2.0,,2.0,,1.0,,1.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
30,4,2,,5.0,5.0,,5.0,5.0,,5.0,,,5.0,,,4.0,,4.0,,4.0,,6.0,,,7.0,,6.0,,4.0,2.0,,2.0,,1.0,,1.0,,1.0,,,0.0,,,0.0,,0.0,1.0,,1.0,3.0,,,3.0,,2.0,,
31,4,2,,2.0,2.0,,2.0,2.0,,1.0,,,1.0,,,1.0,,0.0,,0.0,,2.0,,,2.0,,2.0,,2.0,1.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,1.0,,1.0,,
32,4,2,,3.0,4.0,,3.0,3.0,,3.0,,,3.0,,,2.0,,2.0,,3.0,,4.0,,,5.0,,4.0,,2.0,1.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
33,4,2,,4.0,4.0,,4.0,4.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,4.0,,,5.0,,5.0,,3.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
34,4,2,,4.0,5.0,,5.0,5.0,,5.0,,,5.0,,,4.0,,4.0,,4.0,,5.0,,,6.0,,6.0,,2.0,2.0,,2.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
35,4,2,,3.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,3.0,,2.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,1.0,2.0,,,2.0,,1.0,,
36,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,3.0,,3.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,1.0,,1.0,,
37,4,2,,4.0,4.0,,4.0,3.0,,3.0,,,3.0,,,2.0,,2.0,,2.0,,4.0,,,5.0,,4.0,,3.0,1.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
38,4,2,,4.0,4.0,,3.0,3.0,,3.0,,,3.0,,,2.0,,2.0,,2.0,,4.0,,,5.0,,4.0,,3.0,1.0,,1.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,1.0,2.0,,,2.0,,1.0,,
39,4,2,,4.0,5.0,,5.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,5.0,,,6.0,,5.0,,2.0,2.0,,2.0,,1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,2.0,2.0,,,2.0,,1.0,,
40,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,2.0,,2.0,,
41,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,2.0,,2.0,,
42,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,2.0,,4.0,,,4.0,,4.0,,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,3.0,,2.0,,
43,4,2,,3.0,3.0,,3.0,3.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,3.0,,,4.0,,4.0,,3.0,2.0,,2.0,,2.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,2.0,3.0,,,3.0,,2.0,,
44,4,2,,3.0,5.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,,5.0,,5.0,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,
45,4,2,,4.0,5.0,,5.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,,5.0,,5.0,,2.0,3.0,,3.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,,,3.0,,3.0,,
46,4,2,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,0.0,,0.0,,1.0,,,0.0,,1.0,,2.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,2.0,,,1.0,,1.0,,
47,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,3.0,,2.0,,
48,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,2.0,,2.0,,
49,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,2.0,,3.0,,,4.0,,4.0,,3.0,2.0,,2.0,,2.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,2.0,3.0,,,3.0,,2.0,,
50,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,2.0,,4.0,,,4.0,,4.0,,3.0,3.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,3.0,,,3.0,,3.0,,
51,4,2,,3.0,5.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,,5.0,,5.0,,3.0,3.0,,3.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,3.0,,3.0,2.0,,,3.0,,3.0,,
52,4,2,,4.0,5.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,,5.0,,5.0,,3.0,3.0,,3.0,,3.0,,2.0,,2.0,,,2.0,,,3.0,,3.0,3.0,,3.0,3.0,,,3.0,,3.0,,
53,4,2,,3.0,4.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,,5.0,,5.0,,2.0,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,2.0,,2.0,2.0,,,2.0,,1.0,,
54,4,2,,1.0,1.0,,1.0,1.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,2.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,2.0,,,1.0,,1.0,,
55,4,2,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,2.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,,,2.0,,2.0,,
56,4,2,,2.0,2.0,,1.0,1.0,,1.0,,,1.0,,,0.0,,0.0,,0.0,,2.0,,,2.0,,2.0,,3.0,2.0,,2.0,,2.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,2.0,,2.0,3.0,,,2.0,,2.0,,
57,4,2,,2.0,3.0,,2.0,2.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,2.0,,,3.0,,3.0,,3.0,2.0,,3.0,,2.0,,2.0,,1.0,,,1.0,,,2.0,,2.0,2.0,,2.0,3.0,,,2.0,,2.0,,
58,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,2.0,,3.0,,,3.0,,3.0,,3.0,3.0,,3.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,3.0,,,3.0,,2.0,,
59,4,2,,3.0,4.0,,3.0,3.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,3.0,,,4.0,,4.0,,3.0,3.0,,3.0,,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,3.0,,3.0,3.0,,,3.0,,3.0,,
60,4,2,,3.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,3.0,,3.0,,,4.0,,4.0,,3.0,3.0,,3.0,,2.0,,2.0,,2.0,,,2.0,,,3.0,,3.0,3.0,,3.0,3.0,,,3.0,,3.0,,
